Rater,Snippet1,Snippet2,Snippet3,Snippet4,Snippet5,Snippet6,Snippet7,Snippet8,Snippet9,Snippet10,Snippet11,Snippet12,Snippet13,Snippet14,Snippet15,Snippet16,Snippet17,Snippet18,Snippet19,Snippet20,Snippet21,Snippet22,Snippet23,Snippet24,Snippet25,Snippet26,Snippet27,Snippet28,Snippet29,Snippet30,Snippet31,Snippet32,Snippet33,Snippet34,Snippet35,Snippet36,Snippet37,Snippet38,Snippet39,Snippet40,Snippet41,Snippet42,Snippet43,Snippet44,Snippet45,Snippet46,Snippet47,Snippet48,Snippet49,Snippet50,Snippet51,Snippet52,Snippet53,Snippet54,Snippet55,Snippet56,Snippet57,Snippet58,Snippet59,Snippet60,Snippet61,Snippet62,Snippet63,Snippet64,Snippet65,Snippet66,Snippet67,Snippet68,Snippet69,Snippet70,Snippet71,Snippet72,Snippet73,Snippet74,Snippet75,Snippet76,Snippet77,Snippet78,Snippet79,Snippet80,Snippet81,Snippet82,Snippet83,Snippet84,Snippet85,Snippet86,Snippet87,Snippet88,Snippet89,Snippet90,Snippet91,Snippet92,Snippet93,Snippet94,Snippet95,Snippet96,Snippet97,Snippet98,Snippet99,Snippet100,Snippet101,Snippet102,Snippet103,Snippet104,Snippet105,Snippet106,Snippet107,Snippet108,Snippet109,Snippet110,Snippet111,Snippet112,Snippet113,Snippet114,Snippet115,Snippet116,Snippet117,Snippet118,Snippet119,Snippet120,Snippet121,Snippet122,Snippet123,Snippet124,Snippet125,Snippet126,Snippet127,Snippet128,Snippet129,Snippet130,Snippet131,Snippet132,Snippet133,Snippet134,Snippet135,Snippet136,Snippet137,Snippet138,Snippet139,Snippet140,Snippet141,Snippet142,Snippet143,Snippet144,Snippet145,Snippet146,Snippet147,Snippet148,Snippet149,Snippet150,Snippet151,Snippet152,Snippet153,Snippet154,Snippet155,Snippet156,Snippet157,Snippet158,Snippet159,Snippet160,Snippet161,Snippet162,Snippet163,Snippet164,Snippet165,Snippet166,Snippet167,Snippet168,Snippet169,Snippet170,Snippet171,Snippet172,Snippet173,Snippet174,Snippet175,Snippet176,Snippet177,Snippet178,Snippet179,Snippet180,Snippet181,Snippet182,Snippet183,Snippet184,Snippet185,Snippet186,Snippet187,Snippet188,Snippet189,Snippet190,Snippet191,Snippet192,Snippet193,Snippet194,Snippet195,Snippet196,Snippet197,Snippet198,Snippet199,Snippet200
Evaluator1,5,4,5,5,5,4,2,3,5,3,5,3,3,4,2,4,3,4,5,5,5,4,4,4,5,3,3,2,4,4,3,5,4,3,5,4,4,5,5,4,3,5,3,3,5,2,4,4,3,4,3,3,4,4,5,3,4,4,5,4,2,4,5,5,4,3,5,2,2,2,3,3,4,1,4,4,5,3,4,3,4,4,5,3,5,5,2,5,2,4,4,5,3,3,4,3,3,3,3,3,5,3,5,4,5,4,4,4,4,2,4,4,5,5,3,4,5,4,5,4,4,4,5,3,3,3,4,4,3,3,4,3,5,3,3,3,3,4,4,2,3,3,4,5,3,3,3,4,3,3,3,4,5,3,3,3,3,2,3,4,3,3,2,3,5,5,3,4,3,2,3,3,2,4,4,4,4,3,3,3,4,5,4,4,4,4,5,4,3,4,5,3,4,4,4,2,2,3,3,3
Evaluator2,3,3,2,3,3,5,3,2,2,3,3,2,3,2,1,4,3,4,3,4,4,4,3,4,4,4,3,2,3,2,2,3,3,2,4,1,3,4,4,3,3,5,3,4,4,4,3,4,1,3,3,3,4,3,5,4,4,4,4,3,3,3,4,4,5,3,4,3,3,2,4,3,4,3,4,4,4,3,4,4,4,2,3,3,3,4,3,3,4,4,4,4,3,3,4,2,2,2,3,4,2,3,3,3,4,3,4,3,3,4,3,3,4,4,5,3,4,4,4,3,3,3,5,3,3,3,3,3,3,3,3,4,5,5,3,3,3,4,4,3,4,4,4,5,4,3,4,4,3,5,5,4,5,3,3,4,3,3,3,4,4,3,3,3,4,4,3,3,3,3,3,4,3,3,5,4,4,4,3,3,3,3,4,5,4,3,5,3,4,4,5,3,4,4,3,2,3,3,3,4
Evaluator3,4,4,2,3,4,3,3,3,3,2,4,2,4,3,3,3,4,4,3,3,4,4,2,3,4,4,4,3,4,4,3,4,3,3,4,2,4,3,4,4,4,4,4,3,4,3,3,4,3,4,3,4,3,4,4,3,4,4,3,3,3,3,3,4,4,4,4,3,2,3,3,2,4,1,3,4,4,4,3,3,4,3,4,3,4,4,4,3,3,4,4,4,3,3,4,4,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,4,4,3,2,5,3,4,3,4,3,4,3,3,4,3,4,4,4,3,4,3,3,3,4,4,4,4,3,4,3,4,5,4,3,4,4,3,5,5,5,4,3,4,4,3,3,4,4,4,3,3,5,4,4,3,4,4,4,4,4,4,4,4,3,2,4,3,2,3,3,4,4,4,4,3,4,4,4,4,3,4,3,4,3,4,4,3,4
Evaluator4,5,4,4,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,3,5,2,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,3,3,5,5,5,4,5,4,5,5,5,3,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,4,5,4,3,4,4,4,4,4,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,4,4,5,4,4,5,5,4,5,4,4,5,4,4,4,5,4,4,5,5,5,5,3,5,4,4,5,4,4,5,4,4,5,5,5,5,4,4,3,3,3,4,5,4,3,3,4,5,4,3,5,5,4,4,2,4,4,5,5,4,4,4,3,3,4,5,5,4,4,5,4,4,5,5,4,5,4,5,3,4,3,3,5
Evaluator5,2,4,4,5,4,5,1,3,2,4,3,2,2,2,3,5,4,4,4,4,4,5,4,4,5,3,4,1,3,2,2,5,4,3,5,3,4,4,5,5,4,4,2,4,5,3,3,3,3,2,4,4,5,4,5,3,4,4,4,4,4,3,4,4,5,1,5,2,2,3,3,2,5,1,2,5,4,4,5,2,5,3,2,1,5,5,3,3,2,5,4,4,2,2,4,2,2,2,2,3,2,2,3,4,4,2,3,3,2,4,3,3,4,5,4,3,4,2,4,4,3,3,4,4,2,2,2,3,3,3,4,2,4,3,2,3,2,3,4,2,5,4,4,5,3,2,3,2,3,5,4,4,5,4,3,3,2,2,4,5,3,2,3,4,4,4,2,5,5,3,4,3,3,3,3,4,2,3,4,2,2,3,2,3,4,4,4,3,3,5,4,3,4,3,3,3,2,3,4,4
Evaluator6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,4,4,5,5,4,5,5,5,5,5,5,3,5,5,4,4,5,5,4,5,5,4,3,4,3,3,3,2,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,4,4,4,5,3,4,5,5,5,4,5,5,3,5,5,5,5,3,3,4,5,3,3,4,3,4,4,5,4,5,4,3,4,5,5,4,3,5,5,3,3,2,2,2,5,2,4,2,5,5,2,5,3,5,5,2,5,2,3,5,5,3,3,3,3,5,5,4,5,2,2,3,2,4,3,4,3,4,3,5,4,3,3,5,4,3,5,5,3,4,5,3,3,3,4,2,2,3,3,5,4,4,5,4,4,4,5,4,5,4,3,5,3,4,5,3
Evaluator7,5,3,4,5,4,4,4,3,3,2,5,4,4,5,3,4,1,2,5,2,3,5,2,4,4,1,2,2,5,3,3,5,4,1,2,2,4,4,5,3,4,5,1,3,2,2,4,5,1,1,2,4,5,5,5,3,2,4,4,3,5,5,3,2,5,4,5,2,2,2,4,4,4,1,5,5,4,4,5,5,4,5,2,3,5,4,1,4,4,2,4,5,4,4,1,2,2,2,1,2,1,5,4,4,1,4,4,2,1,3,1,4,5,5,1,4,1,4,2,4,1,1,5,2,2,3,1,2,5,3,1,1,5,4,1,3,2,1,5,1,5,2,1,5,3,2,3,1,1,5,5,2,4,2,1,1,2,1,5,5,2,1,3,5,5,3,1,5,5,2,4,4,1,3,2,3,1,2,1,1,2,1,4,4,5,4,4,5,5,1,3,2,2,1,1,1,2,2,4,3
Evaluator8,4,3,2,3,3,5,3,1,4,3,4,3,3,4,2,5,3,4,3,3,3,5,2,2,3,1,3,2,3,4,3,4,4,1,4,1,2,4,5,5,5,5,3,5,4,3,4,3,2,3,3,5,5,5,1,2,3,1,4,5,4,3,5,4,4,2,5,2,2,5,1,1,5,1,3,4,5,3,4,3,5,3,2,2,1,3,3,2,2,3,5,5,5,4,4,4,3,3,4,5,4,3,4,2,3,3,4,2,3,4,2,4,2,5,1,4,1,5,4,3,4,2,5,3,4,3,3,4,5,3,3,3,4,4,2,3,3,4,3,4,5,3,2,4,5,3,2,2,2,5,4,4,2,3,3,3,3,4,3,4,5,2,3,5,3,3,4,5,5,3,5,4,3,3,4,3,2,3,3,1,2,4,2,4,3,2,4,3,2,4,5,4,3,2,3,2,3,3,3,2
Evaluator9,5,2,4,5,3,5,2,3,5,2,2,4,3,2,1,5,5,4,3,4,3,4,2,2,3,3,5,1,3,2,3,4,5,2,4,1,4,4,5,4,4,4,3,4,5,4,3,4,3,2,3,3,3,4,4,4,3,3,4,3,4,2,4,4,4,4,4,3,4,3,4,4,5,1,5,4,4,3,4,3,3,4,4,4,3,2,4,3,2,2,4,4,4,3,5,2,3,3,4,4,3,3,5,5,5,4,4,3,3,3,3,4,4,4,4,4,3,4,5,5,4,4,4,3,2,3,3,4,4,4,4,3,5,3,4,4,2,4,3,2,3,3,4,5,4,2,4,3,4,5,5,5,4,3,3,5,2,2,4,4,4,3,3,4,5,3,3,5,4,4,3,4,2,3,4,3,4,3,4,4,2,4,4,4,3,3,5,5,3,3,4,2,3,3,4,2,4,2,5,1
Mean,4.22,3.56,3.56,4.33,4,4.56,3,3.11,3.78,3.22,4,3.33,3.56,3.56,2.67,4.44,3.67,4,4,3.89,4,4.56,3.22,3.67,4.22,3.22,3.78,2.33,3.67,3.44,3.22,4.33,4,2.56,4.22,2.22,3.78,4.22,4.78,4.22,4.11,4.67,2.89,4,4.33,3.33,3.67,4.11,2.78,3.11,3.44,4,4.22,4.11,4.22,3.33,3.56,3.56,3.78,3.89,3.89,3.33,4,3.89,4.56,3.44,4.67,2.89,3,3.22,3.56,3.22,4.56,1.89,3.89,4.44,4.44,3.78,4.33,3.67,4.33,3.78,3.44,2.89,3.89,4,3.22,3.67,2.89,3.67,4.22,4.56,3.67,3.22,3.89,3.11,2.78,3,3.22,3.67,3.33,3.33,3.89,3.89,3.89,3.56,3.89,3.33,3,3.56,3,3.89,4.11,4.67,3.33,3.56,3.56,3.89,4.11,3.89,3.33,3.22,4.67,3.22,2.89,3.11,2.78,3.33,4.11,3.22,3.33,2.89,4.56,3.78,2.67,3.67,3,3.78,4.11,2.44,4.33,3.11,3.33,4.89,3.89,2.78,3.44,3,2.89,4.78,4.56,4.11,4.33,3,2.89,3.22,2.56,2.67,3.67,4.33,3.56,2.67,2.89,4.22,4.33,3.67,2.78,4.56,4.22,3.11,3.89,3.67,2.78,3.44,4,3.56,2.89,3.22,3.22,2.33,2.56,3.33,3.56,4.22,3.89,3.56,4.44,3.89,3.56,3.78,4.44,3.11,3.78,3.11,3.33,2.56,3,3,3.67,3.22